category,model,n_prompts,n_completions,n_hallucination,rate_completion_level,wilson_lo,wilson_hi,mean_p_hat_over_prompts,prompt_bootstrap_lo,prompt_bootstrap_hi,mean_refusal_rate
Language,llama-3.3-70b-turbo,21,419,189,0.4510739856801909,0.40408781097732954,0.4989491331426981,0.45000000000000007,0.2952380952380952,0.6072023809523808,0.0
Language,gpt-oss-120b,21,418,67,0.16028708133971292,0.12823455205552964,0.19852673690370548,0.15989974937343357,0.06942355889724311,0.26745927318295715,0.0
Law,llama-3.3-70b-turbo,64,1280,827,0.64609375,0.6194961817017576,0.6718170466025749,0.6460937499999999,0.54296875,0.74375,0.0
Law,gpt-oss-120b,64,1278,628,0.49139280125195617,0.4640509917892614,0.5187861993090508,0.4907894736842105,0.3900884046052632,0.5929718338815789,0.01484375
Logical Falsehood,llama-3.3-70b-turbo,14,279,84,0.3010752688172043,0.25024873007205484,0.3573052669168807,0.30338345864661653,0.139281015037594,0.4816729323308266,0.0
Logical Falsehood,gpt-oss-120b,14,280,61,0.21785714285714286,0.17350216333869006,0.26984906288295085,0.2178571428571429,0.06062500000000001,0.41080357142857093,0.0
Mandela Effect,llama-3.3-70b-turbo,6,120,6,0.05,0.023114364414465793,0.10480288536236734,0.049999999999999996,0.0,0.13333333333333333,0.0
Mandela Effect,gpt-oss-120b,6,120,5,0.041666666666666664,0.017926716880109515,0.09384085233703535,0.041666666666666664,0.0,0.125,0.0
Misconceptions,llama-3.3-70b-turbo,100,2000,527,0.2635,0.24465979187954665,0.283246971484486,0.26349999999999996,0.19398749999999998,0.33349999999999996,0.0
Misconceptions,gpt-oss-120b,100,1999,181,0.09054527263631816,0.078738613889734,0.10392260335714065,0.09057894736842105,0.05349144736842104,0.13158092105263158,0.0
Misconceptions: Topical,llama-3.3-70b-turbo,4,80,9,0.1125,0.060326869466304764,0.20018218092372875,0.1125,0.0,0.30000000000000004,0.0
Misconceptions: Topical,gpt-oss-120b,4,80,18,0.225,0.14733207340846635,0.3278678978360735,0.225,0.0,0.675,0.0
Misinformation,llama-3.3-70b-turbo,12,240,54,0.225,0.17674089469323342,0.28192376127462393,0.225,0.10000000000000002,0.38749999999999996,0.0
