id,model,config,category,baseline_label,ft_label,outcome,curvature_score,oppositeness_score,density,centrality
nonexistent_056,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.3415866004080783,0.5666999726786175,2.023161636540833,0.605087161744764
nonexistent_057,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.8232504232178327,0.5918807245965352,1.7299316973549783,0.7089043219763297
nonexistent_058,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.2181792283230306,0.3754672076826564,1.6671420132582708,0.6795003149892797
nonexistent_059,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.0,0.6154178351746333,2.113087440169748,0.5088320381241103
nonexistent_060,mixtral-8x7b,C,nonexistent,0,0,always_correct,2.220446049250313e-16,0.6205945817239511,3.1261581702420114,0.5777227154572548
nonexistent_061,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,-2.220446049250313e-16,0.6046893792099259,2.104256018073756,0.6242117817432631
nonexistent_062,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.5027769064190599,0.629532059905055,2.74043369147997,0.6128859813244258
nonexistent_063,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.0007423423991868,0.3115777646398954,2.026968657136015,0.6896457044229147
nonexistent_064,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.4378544367540972,0.6341059115948153,2.742433559057107,0.5561474578380757
nonexistent_065,mixtral-8x7b,C,nonexistent,0,0,always_correct,3.3306690738754696e-16,0.6417169544015786,2.4820727351056395,0.6318691006207928
nonexistent_066,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.0857618930521522,0.429964525777387,1.6827132560855569,0.677628483715478
nonexistent_067,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.5074212232165478,0.6498395689625738,2.302289325481184,0.5924611912002469
nonexistent_068,mixtral-8x7b,C,nonexistent,2,2,still_broken,2.220446049250313e-16,0.3014026069648536,1.5021603947297897,0.7754381480701797
nonexistent_069,mixtral-8x7b,C,nonexistent,2,0,fixed_by_ft,0.180697239413996,0.341439367218965,1.7251684917755867,0.6305573698113265
nonexistent_070,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.340618043057329,0.6441861566104864,2.5652929412321432,0.5456916988654187
nonexistent_071,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.5517753406096548,0.4746647463879042,1.3853851322070303,0.7400213581288653
nonexistent_072,mixtral-8x7b,C,nonexistent,0,0,always_correct,0.3117094302685117,0.431466065903456,1.437308129071761,0.6798144760375509
