analysis,model,comparison,feature,group_a,group_b,mean_a,mean_b,n_a,n_b,u_stat,p_mw,p_perm,effect_r,p_bonferroni,p_bh_fdr
12A.1,llama-4-maverick-17b,broken_vs_correct,curvature_score,broken_by_ft,always_correct,0.46868043090073347,0.37048166182450376,4,403,970.0,0.48485202500295044,0.5099,-0.2034739454094292,1.0,0.631050304007766
12A.1,llama-4-maverick-17b,broken_vs_correct,density,broken_by_ft,always_correct,1.5673455850827762,1.8900612253476274,4,403,431.0,0.10967183796400722,0.1502,0.4652605459057072,1.0,0.2924582345706859
12A.1,llama-4-maverick-17b,broken_vs_correct,centrality,broken_by_ft,always_correct,0.7048618763208958,0.6768538074742146,4,403,955.0,0.525875253339805,0.5422,-0.18486352357320102,1.0,0.631050304007766
12A.1_unstable,llama-4-maverick-17b,fixed_vs_still_broken,oppositeness_score,fixed,still_broken,0.49643039755401913,0.5264252433109468,17,9,67.0,0.6276258050283593,,0.12418300653594772,,
12A.1_unstable,llama-4-maverick-17b,broken_vs_correct,oppositeness_score,broken_by_ft,always_correct,0.4783707022344752,0.48991315952020564,4,403,795.0,0.9642264267307472,,0.013647642679900707,,
12A.2,mixtral-8x7b,within_borderline_plausible_fake,curvature_score,ft_correct,ft_wrong,0.45323768150796107,0.7148220247141694,27,4,29.0,0.1486252101956089,0.1641,0.4629629629629629,1.0,0.3242731858813285
12A.2,mixtral-8x7b,within_borderline_plausible_fake,density,ft_correct,ft_wrong,1.6502886982666085,1.5470101352482715,27,4,66.5,0.4794115129019373,0.3909,-0.2314814814814814,1.0,0.631050304007766
12A.2,mixtral-8x7b,within_borderline_plausible_fake,centrality,ft_correct,ft_wrong,0.7046962816579239,0.7348357842528093,27,4,40.5,0.4435651405818787,0.2695,0.25,1.0,0.631050304007766
12A.2,llama-4-maverick-17b,within_borderline_plausible_fake,curvature_score,ft_correct,ft_wrong,0.5397886432873281,0.30596829438225015,24,7,119.0,0.10293380027099143,0.1232,-0.41666666666666674,1.0,0.2924582345706859
12A.2,llama-4-maverick-17b,within_borderline_plausible_fake,density,ft_correct,ft_wrong,1.646310629558893,1.6049114692540125,24,7,117.0,0.12458981018494647,0.692,-0.3928571428571428,1.0,0.2990155444438715
12A.2,llama-4-maverick-17b,within_borderline_plausible_fake,centrality,ft_correct,ft_wrong,0.7057348960729861,0.718357890860502,24,7,69.0,0.49321850234350795,0.5664,0.1785714285714286,1.0,0.631050304007766
12A.3,mixtral-8x7b,broken_vs_always_correct,curvature_score,broken_by_ft,always_correct,0.4284529616900141,0.37937084727402964,6,366,1186.0,0.7376449656517483,0.6813,-0.08014571948998173,1.0,0.7376449656517483
12A.3,mixtral-8x7b,broken_vs_always_correct,density,broken_by_ft,always_correct,1.5481930230741607,1.8800195058988975,6,366,608.0,0.06098765146408575,0.0665,0.44626593806921677,1.0,0.2803876265165876
12A.3,mixtral-8x7b,broken_vs_always_correct,centrality,broken_by_ft,always_correct,0.6890912872420789,0.6793518108614239,6,366,1218.0,0.6473892845300606,0.7834,-0.1092896174863387,1.0,0.7062428558509752
12A.3,llama-4-maverick-17b,broken_vs_always_correct,curvature_score,broken_by_ft,always_correct,0.46868043090073347,0.37048166182450376,4,403,970.0,0.48485202500295044,0.5099,-0.2034739454094292,1.0,0.631050304007766
12A.3,llama-4-maverick-17b,broken_vs_always_correct,density,broken_by_ft,always_correct,1.5673455850827762,1.8900612253476274,4,403,431.0,0.10967183796400722,0.1502,0.4652605459057072,1.0,0.2924582345706859
12A.3,llama-4-maverick-17b,broken_vs_always_correct,centrality,broken_by_ft,always_correct,0.7048618763208958,0.6768538074742146,4,403,955.0,0.525875253339805,0.5422,-0.18486352357320102,1.0,0.631050304007766
